"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","2 wk ahead","Bin","percent","12.4","12.5",0
"US National","2 wk ahead","Bin","percent","12.5","12.6",0
"US National","2 wk ahead","Bin","percent","12.6","12.7",0
"US National","2 wk ahead","Bin","percent","12.7","12.8",0
"US National","2 wk ahead","Bin","percent","12.8","12.9",0
"US National","2 wk ahead","Bin","percent","12.9","13",0
"US National","2 wk ahead","Bin","percent","13","100",0
"US National","3 wk ahead","Point","percent",NA,NA,1.7
"US National","3 wk ahead","Bin","percent","0","0.1",0
"US National","3 wk ahead","Bin","percent","0.1","0.2",0
"US National","3 wk ahead","Bin","percent","0.2","0.3",0
"US National","3 wk ahead","Bin","percent","0.3","0.4",0
"US National","3 wk ahead","Bin","percent","0.4","0.5",0
"US National","3 wk ahead","Bin","percent","0.5","0.6",0
"US National","3 wk ahead","Bin","percent","0.6","0.7",0
"US National","3 wk ahead","Bin","percent","0.7","0.8",0
"US National","3 wk ahead","Bin","percent","0.8","0.9",7e-04
"US National","3 wk ahead","Bin","percent","0.9","1",0.0032
"US National","3 wk ahead","Bin","percent","1","1.1",0.0137
"US National","3 wk ahead","Bin","percent","1.1","1.2",0.0269
"US National","3 wk ahead","Bin","percent","1.2","1.3",0.0562
"US National","3 wk ahead","Bin","percent","1.3","1.4",0.0791
"US National","3 wk ahead","Bin","percent","1.4","1.5",0.0971
"US National","3 wk ahead","Bin","percent","1.5","1.6",0.1024
"US National","3 wk ahead","Bin","percent","1.6","1.7",0.1053
"US National","3 wk ahead","Bin","percent","1.7","1.8",0.0963
"US National","3 wk ahead","Bin","percent","1.8","1.9",0.0872999999999999
"US National","3 wk ahead","Bin","percent","1.9","2",0.0761
"US National","3 wk ahead","Bin","percent","2","2.1",0.0596
"US National","3 wk ahead","Bin","percent","2.1","2.2",0.0457
"US National","3 wk ahead","Bin","percent","2.2","2.3",0.0396
"US National","3 wk ahead","Bin","percent","2.3","2.4",0.0261
"US National","3 wk ahead","Bin","percent","2.4","2.5",0.0194
"US National","3 wk ahead","Bin","percent","2.5","2.6",0.0163
"US National","3 wk ahead","Bin","percent","2.6","2.7",0.0113
"US National","3 wk ahead","Bin","percent","2.7","2.8",0.0085
"US National","3 wk ahead","Bin","percent","2.8","2.9",0.0081
"US National","3 wk ahead","Bin","percent","2.9","3",0.0052
"US National","3 wk ahead","Bin","percent","3","3.1",0.0039
"US National","3 wk ahead","Bin","percent","3.1","3.2",0.0025
"US National","3 wk ahead","Bin","percent","3.2","3.3",0.0022
"US National","3 wk ahead","Bin","percent","3.3","3.4",0.0015
"US National","3 wk ahead","Bin","percent","3.4","3.5",0.0019
"US National","3 wk ahead","Bin","percent","3.5","3.6",0.001
"US National","3 wk ahead","Bin","percent","3.6","3.7",4e-04
"US National","3 wk ahead","Bin","percent","3.7","3.8",9.99999999999999e-05
"US National","3 wk ahead","Bin","percent","3.8","3.9",6e-04
"US National","3 wk ahead","Bin","percent","3.9","4",4e-04
"US National","3 wk ahead","Bin","percent","4","4.1",3e-04
"US National","3 wk ahead","Bin","percent","4.1","4.2",3e-04
"US National","3 wk ahead","Bin","percent","4.2","4.3",0
"US National","3 wk ahead","Bin","percent","4.3","4.4",4e-04
"US National","3 wk ahead","Bin","percent","4.4","4.5",2e-04
"US National","3 wk ahead","Bin","percent","4.5","4.6",0
"US National","3 wk ahead","Bin","percent","4.6","4.7",2e-04
"US National","3 wk ahead","Bin","percent","4.7","4.8",0
"US National","3 wk ahead","Bin","percent","4.8","4.9",0
"US National","3 wk ahead","Bin","percent","4.9","5",0
"US National","3 wk ahead","Bin","percent","5","5.1",0
"US National","3 wk ahead","Bin","percent","5.1","5.2",0
"US National","3 wk ahead","Bin","percent","5.2","5.3",0
"US National","3 wk ahead","Bin","percent","5.3","5.4",0
"US National","3 wk ahead","Bin","percent","5.4","5.5",0
"US National","3 wk ahead","Bin","percent","5.5","5.6",0
"US National","3 wk ahead","Bin","percent","5.6","5.7",0
"US National","3 wk ahead","Bin","percent","5.7","5.8",0
"US National","3 wk ahead","Bin","percent","5.8","5.9",0
"US National","3 wk ahead","Bin","percent","5.9","6",0
"US National","3 wk ahead","Bin","percent","6","6.1",0
"US National","3 wk ahead","Bin","percent","6.1","6.2",0
"US National","3 wk ahead","Bin","percent","6.2","6.3",0
"US National","3 wk ahead","Bin","percent","6.3","6.4",0
"US National","3 wk ahead","Bin","percent","6.4","6.5",0
"US National","3 wk ahead","Bin","percent","6.5","6.6",0
"US National","3 wk ahead","Bin","percent","6.6","6.7",0
"US National","3 wk ahead","Bin","percent","6.7","6.8",0
"US National","3 wk ahead","Bin","percent","6.8","6.9",0
"US National","3 wk ahead","Bin","percent","6.9","7",0
"US National","3 wk ahead","Bin","percent","7","7.1",0
"US National","3 wk ahead","Bin","percent","7.1","7.2",0
"US National","3 wk ahead","Bin","percent","7.2","7.3",0
"US National","3 wk ahead","Bin","percent","7.3","7.4",0
"US National","3 wk ahead","Bin","percent","7.4","7.5",0
"US National","3 wk ahead","Bin","percent","7.5","7.6",0
"US National","3 wk ahead","Bin","percent","7.6","7.7",0
"US National","3 wk ahead","Bin","percent","7.7","7.8",0
"US National","3 wk ahead","Bin","percent","7.8","7.9",0
"US National","3 wk ahead","Bin","percent","7.9","8",0
"US National","3 wk ahead","Bin","percent","8","8.1",0
"US National","3 wk ahead","Bin","percent","8.1","8.2",0
"US National","3 wk ahead","Bin","percent","8.2","8.3",0
"US National","3 wk ahead","Bin","percent","8.3","8.4",0
"US National","3 wk ahead","Bin","percent","8.4","8.5",0
"US National","3 wk ahead","Bin","percent","8.5","8.6",0
"US National","3 wk ahead","Bin","percent","8.6","8.7",0
"US National","3 wk ahead","Bin","percent","8.7","8.8",0
"US National","3 wk ahead","Bin","percent","8.8","8.9",0
"US National","3 wk ahead","Bin","percent","8.9","9",0
"US National","3 wk ahead","Bin","percent","9","9.1",0
"US National","3 wk ahead","Bin","percent","9.1","9.2",0
"US National","3 wk ahead","Bin","percent","9.2","9.3",0
"US National","3 wk ahead","Bin","percent","9.3","9.4",0
"US National","3 wk ahead","Bin","percent","9.4","9.5",0
"US National","3 wk ahead","Bin","percent","9.5","9.6",0
"US National","3 wk ahead","Bin","percent","9.6","9.7",0
"US National","3 wk ahead","Bin","percent","9.7","9.8",0
"US National","3 wk ahead","Bin","percent","9.8","9.9",0
"US National","3 wk ahead","Bin","percent","9.9","10",0
"US National","3 wk ahead","Bin","percent","10","10.1",0
"US National","3 wk ahead","Bin","percent","10.1","10.2",0
"US National","3 wk ahead","Bin","percent","10.2","10.3",0
"US National","3 wk ahead","Bin","percent","10.3","10.4",0
"US National","3 wk ahead","Bin","percent","10.4","10.5",0
"US National","3 wk ahead","Bin","percent","10.5","10.6",0
"US National","3 wk ahead","Bin","percent","10.6","10.7",0
"US National","3 wk ahead","Bin","percent","10.7","10.8",0
"US National","3 wk ahead","Bin","percent","10.8","10.9",0
"US National","3 wk ahead","Bin","percent","10.9","11",0
"US National","3 wk ahead","Bin","percent","11","11.1",0
"US National","3 wk ahead","Bin","percent","11.1","11.2",0
"US National","3 wk ahead","Bin","percent","11.2","11.3",0
"US National","3 wk ahead","Bin","percent","11.3","11.4",0
"US National","3 wk ahead","Bin","percent","11.4","11.5",0
"US National","3 wk ahead","Bin","percent","11.5","11.6",0
"US National","3 wk ahead","Bin","percent","11.6","11.7",0
"US National","3 wk ahead","Bin","percent","11.7","11.8",0
"US National","3 wk ahead","Bin","percent","11.8","11.9",0
"US National","3 wk ahead","Bin","percent","11.9","12",0
"US National","3 wk ahead","Bin","percent","12","12.1",0
"US National","3 wk ahead","Bin","percent","12.1","12.2",0
"US National","3 wk ahead","Bin","percent","12.2","12.3",0
"US National","3 wk ahead","Bin","percent","12.3","12.4",0
"US National","3 wk ahead","Bin","percent","12.4","12.5",0
"US National","3 wk ahead","Bin","percent","12.5","12.6",0
"US National","3 wk ahead","Bin","percent","12.6","12.7",0
"US National","3 wk ahead","Bin","percent","12.7","12.8",0
"US National","3 wk ahead","Bin","percent","12.8","12.9",0
"US National","3 wk ahead","Bin","percent","12.9","13",0
"US National","3 wk ahead","Bin","percent","13","100",0
"US National","4 wk ahead","Point","percent",NA,NA,2
"US National","4 wk ahead","Bin","percent","0","0.1",0
"US National","4 wk ahead","Bin","percent","0.1","0.2",0
"US National","4 wk ahead","Bin","percent","0.2","0.3",0
"US National","4 wk ahead","Bin","percent","0.3","0.4",0
"US National","4 wk ahead","Bin","percent","0.4","0.5",0
"US National","4 wk ahead","Bin","percent","0.5","0.6",0
"US National","4 wk ahead","Bin","percent","0.6","0.7",0
"US National","4 wk ahead","Bin","percent","0.7","0.8",0
"US National","4 wk ahead","Bin","percent","0.8","0.9",1e-04
"US National","4 wk ahead","Bin","percent","0.9","1",0.0016
"US National","4 wk ahead","Bin","percent","1","1.1",0.0053
"US National","4 wk ahead","Bin","percent","1.1","1.2",0.0115
"US National","4 wk ahead","Bin","percent","1.2","1.3",0.019
"US National","4 wk ahead","Bin","percent","1.3","1.4",0.0339
"US National","4 wk ahead","Bin","percent","1.4","1.5",0.0467
"US National","4 wk ahead","Bin","percent","1.5","1.6",0.055
"US National","4 wk ahead","Bin","percent","1.6","1.7",0.0692
"US National","4 wk ahead","Bin","percent","1.7","1.8",0.0703
"US National","4 wk ahead","Bin","percent","1.8","1.9",0.0688
"US National","4 wk ahead","Bin","percent","1.9","2",0.0689
"US National","4 wk ahead","Bin","percent","2","2.1",0.0694
"US National","4 wk ahead","Bin","percent","2.1","2.2",0.0623
"US National","4 wk ahead","Bin","percent","2.2","2.3",0.0546
"US National","4 wk ahead","Bin","percent","2.3","2.4",0.0482
"US National","4 wk ahead","Bin","percent","2.4","2.5",0.045
"US National","4 wk ahead","Bin","percent","2.5","2.6",0.037
"US National","4 wk ahead","Bin","percent","2.6","2.7",0.0342
"US National","4 wk ahead","Bin","percent","2.7","2.8",0.029
"US National","4 wk ahead","Bin","percent","2.8","2.9",0.0236
"US National","4 wk ahead","Bin","percent","2.9","3",0.0204
"US National","4 wk ahead","Bin","percent","3","3.1",0.0163
"US National","4 wk ahead","Bin","percent","3.1","3.2",0.0156
"US National","4 wk ahead","Bin","percent","3.2","3.3",0.0124
"US National","4 wk ahead","Bin","percent","3.3","3.4",0.0106
"US National","4 wk ahead","Bin","percent","3.4","3.5",0.0098
"US National","4 wk ahead","Bin","percent","3.5","3.6",0.0087
"US National","4 wk ahead","Bin","percent","3.6","3.7",0.0058
"US National","4 wk ahead","Bin","percent","3.7","3.8",0.0065
"US National","4 wk ahead","Bin","percent","3.8","3.9",0.0046
"US National","4 wk ahead","Bin","percent","3.9","4",0.0042
"US National","4 wk ahead","Bin","percent","4","4.1",0.0034
"US National","4 wk ahead","Bin","percent","4.1","4.2",0.0032
"US National","4 wk ahead","Bin","percent","4.2","4.3",0.003
"US National","4 wk ahead","Bin","percent","4.3","4.4",0.0024
"US National","4 wk ahead","Bin","percent","4.4","4.5",0.0025
"US National","4 wk ahead","Bin","percent","4.5","4.6",0.0015
"US National","4 wk ahead","Bin","percent","4.6","4.7",0.0018
"US National","4 wk ahead","Bin","percent","4.7","4.8",0.0016
"US National","4 wk ahead","Bin","percent","4.8","4.9",0.000900000000000001
"US National","4 wk ahead","Bin","percent","4.9","5",8e-04
"US National","4 wk ahead","Bin","percent","5","5.1",0.0013
"US National","4 wk ahead","Bin","percent","5.1","5.2",3e-04
"US National","4 wk ahead","Bin","percent","5.2","5.3",0.0011
"US National","4 wk ahead","Bin","percent","5.3","5.4",8e-04
"US National","4 wk ahead","Bin","percent","5.4","5.5",0.001
"US National","4 wk ahead","Bin","percent","5.5","5.6",4e-04
"US National","4 wk ahead","Bin","percent","5.6","5.7",7e-04
"US National","4 wk ahead","Bin","percent","5.7","5.8",4e-04
"US National","4 wk ahead","Bin","percent","5.8","5.9",2e-04
"US National","4 wk ahead","Bin","percent","5.9","6",3e-04
"US National","4 wk ahead","Bin","percent","6","6.1",5e-04
"US National","4 wk ahead","Bin","percent","6.1","6.2",5e-04
"US National","4 wk ahead","Bin","percent","6.2","6.3",4e-04
"US National","4 wk ahead","Bin","percent","6.3","6.4",3e-04
"US National","4 wk ahead","Bin","percent","6.4","6.5",0
"US National","4 wk ahead","Bin","percent","6.5","6.6",1e-04
"US National","4 wk ahead","Bin","percent","6.6","6.7",6e-04
"US National","4 wk ahead","Bin","percent","6.7","6.8",0
"US National","4 wk ahead","Bin","percent","6.8","6.9",0
"US National","4 wk ahead","Bin","percent","6.9","7",3e-04
"US National","4 wk ahead","Bin","percent","7","7.1",1e-04
"US National","4 wk ahead","Bin","percent","7.1","7.2",0
"US National","4 wk ahead","Bin","percent","7.2","7.3",0
"US National","4 wk ahead","Bin","percent","7.3","7.4",0
"US National","4 wk ahead","Bin","percent","7.4","7.5",1e-04
"US National","4 wk ahead","Bin","percent","7.5","7.6",1e-04
"US National","4 wk ahead","Bin","percent","7.6","7.7",1e-04
"US National","4 wk ahead","Bin","percent","7.7","7.8",0
"US National","4 wk ahead","Bin","percent","7.8","7.9",0
"US National","4 wk ahead","Bin","percent","7.9","8",1e-04
"US National","4 wk ahead","Bin","percent","8","8.1",2e-04
"US National","4 wk ahead","Bin","percent","8.1","8.2",1e-04
"US National","4 wk ahead","Bin","percent","8.2","8.3",0
"US National","4 wk ahead","Bin","percent","8.3","8.4",0
"US National","4 wk ahead","Bin","percent","8.4","8.5",1e-04
"US National","4 wk ahead","Bin","percent","8.5","8.6",0
"US National","4 wk ahead","Bin","percent","8.6","8.7",0
"US National","4 wk ahead","Bin","percent","8.7","8.8",1e-04
"US National","4 wk ahead","Bin","percent","8.8","8.9",0
"US National","4 wk ahead","Bin","percent","8.9","9",0
"US National","4 wk ahead","Bin","percent","9","9.1",0
"US National","4 wk ahead","Bin","percent","9.1","9.2",2e-04
"US National","4 wk ahead","Bin","percent","9.2","9.3",0
"US National","4 wk ahead","Bin","percent","9.3","9.4",0
"US National","4 wk ahead","Bin","percent","9.4","9.5",0
"US National","4 wk ahead","Bin","percent","9.5","9.6",0
"US National","4 wk ahead","Bin","percent","9.6","9.7",0
"US National","4 wk ahead","Bin","percent","9.7","9.8",0
"US National","4 wk ahead","Bin","percent","9.8","9.9",0
"US National","4 wk ahead","Bin","percent","9.9","10",0
